,Unnamed: 0,sex,row_number,liters_drunk,drink,check_number,label,age_young,age_medium,age_old,morning1,afternoon1,evening1
166,166,0,7.0,2.0,0,4800,1,young,,,1,0,0
167,167,1,8.0,0.0,0,9859,1,,medium,,0,1,0
168,168,1,96.0,2.0,0,7648,0,,medium,,0,1,0
169,169,1,23.0,5.0,1,3011,1,,,old,1,0,0
170,170,1,16.0,2.0,1,6912,0,,medium,,1,0,0
172,172,0,44.0,4.0,0,937,0,,medium,,0,0,1
174,174,1,93.0,1.0,0,9303,0,,medium,,0,1,0
176,176,1,16.0,3.0,1,3750,1,,,old,1,0,0
178,178,0,9.0,5.0,1,2367,1,,medium,,0,0,1
181,181,0,9.0,0.0,0,7185,1,,,old,0,0,1
182,182,1,45.0,2.0,1,7959,1,,medium,,1,0,0
183,183,1,30.0,5.0,0,2546,1,,medium,,1,0,0
184,184,0,17.0,0.0,0,2193,0,,,old,1,0,0
185,185,1,9.0,3.0,1,7851,1,,,old,1,0,0
186,186,1,98.0,2.48,0,1411,1,,,old,1,0,0
187,187,0,77.0,4.0,0,907,0,,,old,0,1,0
188,188,1,27.0,2.0,0,8777,1,,medium,,0,1,0
190,190,1,91.0,4.0,0,8738,0,,,old,0,0,1
191,191,1,24.0,0.0,1,6615,1,,,old,0,0,1
192,192,0,41.0,5.0,0,4945,1,young,,,0,0,1
193,193,0,91.0,1.0,0,9076,0,,,old,1,0,0
195,195,0,12.0,0.0,1,3502,0,,medium,,0,0,1
196,196,1,82.0,4.0,1,5950,1,,,old,0,0,1
197,197,1,8.0,2.0,0,9518,1,young,,,0,1,0
198,198,0,94.0,5.0,1,5689,1,,,old,1,0,0
199,199,0,59.0,1.0,0,2048,0,,,old,1,0,0
201,201,0,23.0,4.0,1,8392,1,,medium,,0,1,0
202,202,1,70.0,2.48,0,4303,0,young,,,0,1,0
203,203,1,2.0,1.0,1,2561,0,,medium,,0,1,0
204,204,1,100.0,2.48,1,3639,0,,medium,,0,0,1
206,206,1,85.0,1.0,0,5586,0,,medium,,0,0,1
207,207,0,43.0,2.0,1,7009,1,,,old,0,1,0
208,208,0,81.0,5.0,0,8532,0,,,old,1,0,0
209,209,0,86.0,3.0,0,9526,0,young,,,0,0,1
211,211,1,50.0,4.0,0,8961,1,,,old,0,1,0
213,213,0,64.0,0.0,0,3133,1,,,old,0,1,0
216,216,0,20.0,0.0,1,3653,1,,,old,1,0,0
217,217,0,4.0,4.0,0,4122,1,,,old,0,0,1
218,218,1,89.0,4.0,1,4605,1,,,old,1,0,0
219,219,1,35.0,3.0,0,341,1,,medium,,1,0,0
220,220,1,7.0,2.0,1,9467,0,,,old,0,1,0
221,221,1,86.0,4.0,1,223,1,,medium,,0,1,0
222,222,1,14.0,5.0,1,3641,1,,medium,,1,0,0
223,223,1,64.0,3.0,0,8099,0,,,old,0,1,0
224,224,1,42.0,1.0,0,1160,0,,,old,0,1,0
225,225,1,57.0,3.0,1,7139,1,,medium,,0,1,0
228,228,1,75.0,0.0,0,7807,1,young,,,0,1,0
229,229,0,95.0,4.0,1,3321,1,,medium,,0,0,1
230,230,0,54.0,2.0,0,31,1,young,,,1,0,0
232,232,0,64.0,0.0,1,8879,1,,medium,,0,0,1
233,233,1,36.0,0.0,1,1165,0,,medium,,0,0,1
235,235,1,64.0,1.0,0,1699,0,,medium,,0,0,1
237,237,0,72.0,3.0,0,1988,0,,,old,0,0,1
238,238,0,42.0,0.0,1,4879,1,,medium,,0,0,1
239,239,0,55.0,4.0,0,4386,0,,,old,0,0,1
241,241,1,95.0,0.0,0,4529,1,young,,,0,1,0
242,242,1,94.0,4.0,1,9452,0,,,old,0,1,0
243,243,1,31.0,0.0,0,7612,0,,,old,0,1,0
244,244,0,99.0,0.0,0,562,1,,medium,,1,0,0
245,245,1,66.0,2.0,0,9291,1,,,old,1,0,0
246,246,1,22.0,0.0,1,4102,1,,,old,0,1,0
247,247,0,84.0,0.0,1,9249,1,,,old,1,0,0
249,249,1,93.0,0.0,1,8858,0,,medium,,1,0,0
250,250,0,97.0,5.0,0,8872,0,,medium,,0,1,0
251,251,1,62.0,5.0,1,15,1,,,old,0,1,0
252,252,1,74.0,3.0,0,5352,0,,,old,1,0,0
254,254,0,87.0,1.0,1,9201,1,,medium,,0,0,1
255,255,1,77.0,4.0,0,3619,1,young,,,0,0,1
257,257,0,79.0,0.0,1,2814,0,,,old,0,1,0
258,258,0,34.0,3.0,0,4853,0,,medium,,1,0,0
259,259,1,81.0,0.0,1,4028,1,,medium,,0,1,0
260,260,1,16.0,5.0,1,7221,1,,medium,,1,0,0
263,263,0,35.0,3.0,1,1379,1,,medium,,0,1,0
266,266,1,4.0,4.0,0,7259,1,,,old,0,1,0
267,267,1,7.0,5.0,1,4854,1,,medium,,1,0,0
268,268,1,6.0,1.0,0,6746,1,,medium,,0,1,0
269,269,0,4.0,3.0,0,5834,0,,,old,0,0,1
270,270,1,2.0,1.0,0,6826,1,,medium,,0,0,1
271,271,0,42.0,4.0,1,3698,1,,medium,,1,0,0
273,273,1,62.0,0.0,0,4676,1,young,,,0,1,0
274,274,1,27.0,0.0,0,4673,1,,medium,,1,0,0
275,275,1,93.0,1.0,1,8377,1,,medium,,0,0,1
276,276,1,69.0,5.0,1,4076,1,,,old,0,1,0
277,277,1,38.0,3.0,1,4980,0,,medium,,1,0,0
282,282,0,96.0,2.0,0,426,0,,,old,0,1,0
284,284,0,50.0,3.0,1,4204,0,,,old,0,0,1
286,286,1,67.0,0.0,1,7754,1,,,old,0,1,0
288,288,1,78.0,2.48,1,8091,0,,,old,0,0,1
291,291,1,74.0,5.0,1,4588,0,,,old,1,0,0
293,293,1,20.0,0.0,1,1919,1,,,old,1,0,0
295,295,0,42.0,0.0,0,6891,0,young,,,0,1,0
296,296,1,17.0,5.0,0,4448,0,,medium,,0,1,0
297,297,1,24.0,4.0,1,2022,0,,,old,0,0,1
298,298,1,52.0,5.0,0,1925,1,,medium,,0,0,1
299,299,0,70.0,0.0,1,4626,1,,,old,1,0,0
301,301,1,65.0,1.0,0,2145,0,,medium,,0,1,0
302,302,1,52.0,2.48,0,4201,1,young,,,0,0,1
303,303,0,96.0,2.0,1,7376,0,,medium,,0,0,1
304,304,1,29.0,0.0,1,316,1,,,old,0,0,1
305,305,0,42.0,2.0,1,5432,0,,medium,,1,0,0
307,307,1,76.0,1.0,0,960,0,,medium,,0,1,0
310,310,0,94.0,2.48,0,3715,0,,,old,1,0,0
311,311,0,80.0,1.0,1,2203,1,,medium,,0,0,1
313,313,1,61.0,2.48,0,5479,0,,medium,,1,0,0
314,314,0,53.0,2.48,0,4113,1,,medium,,0,0,1
316,316,0,55.0,5.0,0,1126,0,,medium,,0,1,0
317,317,0,52.0,0.0,1,8167,0,,,old,0,1,0
319,319,1,31.0,4.0,0,9486,1,,medium,,1,0,0
320,320,1,69.0,2.0,1,5954,1,,,old,0,1,0
322,322,1,48.0,4.0,0,3534,0,young,,,0,0,1
323,323,0,10.0,4.0,1,3274,1,,,old,1,0,0
325,325,1,76.0,5.0,0,6094,1,young,,,1,0,0
326,326,0,38.0,2.0,1,6488,1,,medium,,0,1,0
327,327,1,60.0,4.0,0,3246,1,,,old,1,0,0
328,328,1,73.0,5.0,0,2410,1,young,,,0,0,1
329,329,1,37.0,5.0,1,1069,1,,,old,1,0,0
330,330,0,1.0,5.0,0,8251,1,,,old,0,1,0
331,331,1,29.0,5.0,1,9898,1,,medium,,0,1,0
332,332,0,84.0,0.0,0,8195,0,,,old,0,0,1
333,333,1,12.0,5.0,0,9141,0,,medium,,1,0,0
335,335,0,35.0,2.0,1,5641,1,,,old,1,0,0
336,336,1,66.0,3.0,0,6879,0,,,old,1,0,0
337,337,1,20.0,1.0,1,9838,0,,,old,0,0,1
338,338,1,83.0,1.0,1,8715,1,,medium,,0,0,1
339,339,1,77.0,2.48,0,9693,1,young,,,0,0,1
340,340,1,40.0,2.0,0,7171,0,young,,,0,0,1
341,341,1,80.0,4.0,0,4461,1,,medium,,0,1,0
342,342,1,93.0,2.0,1,987,0,,,old,0,0,1
343,343,1,45.0,0.0,0,3007,0,,,old,0,1,0
344,344,0,16.0,2.48,0,145,1,,,old,0,0,1
345,345,0,44.0,1.0,1,3550,0,,medium,,0,1,0
346,346,0,30.0,1.0,0,4365,1,young,,,0,1,0
348,348,0,38.0,0.0,1,9269,1,,medium,,0,0,1
349,349,1,51.0,0.0,0,5374,0,young,,,1,0,0
351,351,0,100.0,2.48,1,5011,1,,medium,,1,0,0
353,353,0,86.0,2.0,1,7367,1,,medium,,0,0,1
355,355,1,89.0,3.0,1,2920,1,,medium,,0,1,0
356,356,1,55.0,4.0,0,297,1,,medium,,0,0,1
357,357,0,77.0,1.0,0,1407,0,young,,,0,0,1
358,358,1,36.0,2.0,1,2187,1,,,old,0,0,1
359,359,0,54.0,4.0,1,2180,1,,,old,0,1,0
360,360,0,98.0,2.0,1,1720,1,,,old,0,1,0
361,361,0,28.0,0.0,0,3886,0,young,,,0,0,1
365,365,1,87.0,2.0,1,5297,1,,medium,,1,0,0
367,367,1,20.0,3.0,0,7435,1,,medium,,1,0,0
368,368,1,76.0,1.0,1,2388,1,,medium,,0,1,0
369,369,0,10.0,3.0,0,1464,0,young,,,0,0,1
370,370,0,8.0,1.0,1,3204,1,,medium,,0,1,0
373,373,1,71.0,5.0,1,4098,1,,medium,,1,0,0
374,374,1,86.0,3.0,0,4393,1,young,,,0,0,1
376,376,1,67.0,2.0,1,2368,0,,medium,,1,0,0
377,377,0,100.0,2.48,1,1586,0,,,old,0,0,1
378,378,0,85.0,3.0,1,4982,1,,medium,,1,0,0
379,379,0,13.0,4.0,0,3170,1,,medium,,0,1,0
381,381,1,21.0,0.0,0,2325,1,,,old,1,0,0
382,382,1,71.0,2.0,0,9619,1,,,old,0,0,1
383,383,1,89.0,4.0,0,6167,0,,,old,0,1,0
384,384,0,59.0,3.0,0,2481,0,young,,,0,0,1
388,388,1,67.0,0.0,1,895,0,,,old,1,0,0
389,389,0,83.0,2.48,0,4743,0,,medium,,0,1,0
391,391,1,86.0,1.0,1,5003,0,,,old,1,0,0
392,392,0,92.0,3.0,1,6686,1,,medium,,1,0,0
393,393,1,18.0,1.0,0,8125,0,,medium,,0,1,0
396,396,1,45.0,3.0,0,2414,0,young,,,0,0,1
398,398,1,100.0,5.0,0,6820,1,,,old,0,0,1
399,399,0,28.0,0.0,0,125,1,young,,,0,1,0
400,400,0,65.0,4.0,0,3076,1,,medium,,0,1,0
401,401,1,81.0,3.0,1,1991,1,,,old,0,1,0
402,402,1,11.0,0.0,0,6165,1,young,,,1,0,0
403,403,0,72.0,2.48,1,6479,1,,medium,,0,1,0
406,406,0,40.0,3.0,0,4740,1,,,old,1,0,0
407,407,1,58.0,2.0,0,874,0,,,old,0,0,1
409,409,0,100.0,5.0,1,1402,1,,medium,,0,0,1
410,410,0,47.0,2.0,1,8381,0,,medium,,0,0,1
411,411,0,8.0,2.0,0,2033,1,,medium,,1,0,0
414,414,0,71.0,3.0,0,5323,1,young,,,0,0,1
415,415,0,28.0,3.0,1,67,1,,,old,0,0,1
416,416,1,62.0,3.0,0,256,1,,medium,,0,1,0
417,417,1,98.0,4.0,0,6312,0,,medium,,0,0,1
418,418,1,48.0,4.0,0,783,1,young,,,0,1,0
420,420,1,98.0,3.0,0,5143,1,,medium,,0,0,1
422,422,0,16.0,3.0,1,8305,1,,,old,0,1,0
423,423,0,47.0,0.0,0,7675,1,,,old,0,0,1
424,424,0,76.0,2.0,0,6595,1,young,,,0,0,1
425,425,0,29.0,4.0,0,3435,1,,medium,,1,0,0
426,426,1,100.0,2.0,1,463,0,,,old,0,1,0
427,427,0,18.0,0.0,1,8613,0,,,old,1,0,0
428,428,1,11.0,4.0,1,3705,1,,medium,,0,0,1
429,429,1,100.0,2.48,0,4483,1,,,old,0,0,1
430,430,1,2.0,5.0,0,7324,0,,,old,1,0,0
431,431,0,100.0,1.0,1,3433,0,,,old,0,0,1
432,432,0,54.0,2.48,1,5489,0,,medium,,0,0,1
433,433,0,21.0,1.0,1,3806,1,,medium,,1,0,0
434,434,1,100.0,4.0,0,9055,0,,,old,0,1,0
437,437,0,70.0,2.0,1,9182,0,,,old,0,1,0
438,438,0,58.0,5.0,0,3296,1,young,,,0,0,1
441,441,1,36.0,4.0,1,6627,0,,,old,0,0,1
443,443,1,77.0,4.0,0,568,1,young,,,0,1,0
444,444,0,80.0,5.0,0,1391,1,young,,,0,0,1
446,446,1,7.0,2.48,0,4491,1,,,old,0,1,0
447,447,0,47.0,5.0,1,7683,1,,medium,,0,0,1
451,451,1,56.0,4.0,0,5830,1,,medium,,1,0,0
453,453,1,25.0,1.0,0,6111,1,,,old,1,0,0
455,455,1,1.0,4.0,0,1571,0,young,,,0,1,0
456,456,0,100.0,4.0,1,8567,1,,medium,,0,1,0
457,457,1,9.0,4.0,1,1536,1,,,old,1,0,0
458,458,0,75.0,4.0,0,1245,1,,medium,,1,0,0
459,459,1,50.0,2.0,0,6775,1,,,old,0,0,1
462,462,0,18.0,0.0,0,4404,0,young,,,0,0,1
465,465,0,85.0,4.0,0,8165,0,young,,,1,0,0
467,467,1,2.0,2.48,0,5990,0,,medium,,1,0,0
471,471,1,0.0,3.0,0,1436,1,,medium,,0,0,1
473,473,1,57.0,2.0,0,8726,1,,medium,,0,1,0
474,474,1,72.0,4.0,0,7968,0,,medium,,1,0,0
475,475,0,24.0,2.0,0,8561,0,,,old,0,0,1
476,476,1,100.0,1.0,0,2965,0,,,old,1,0,0
477,477,1,21.0,3.0,0,7613,1,young,,,0,0,1
479,479,1,100.0,1.0,0,7729,0,,,old,0,1,0
483,483,1,30.0,2.48,1,1893,0,,,old,0,1,0
485,485,1,85.0,4.0,0,4619,0,,,old,1,0,0
487,487,0,1.0,5.0,1,6676,0,,,old,0,0,1
489,489,0,67.0,4.0,1,2184,1,,,old,0,0,1
491,491,1,73.0,4.0,1,103,1,,,old,0,0,1
492,492,1,40.0,5.0,0,4922,0,,,old,0,0,1
493,493,1,11.0,3.0,1,2511,0,,medium,,0,1,0
494,494,0,61.0,3.0,0,3308,1,,,old,0,1,0
495,495,0,88.0,4.0,1,5206,1,,medium,,1,0,0
496,496,0,28.0,1.0,1,9620,0,,medium,,1,0,0
497,497,0,43.0,1.0,0,8583,1,,medium,,1,0,0
498,498,0,37.0,5.0,0,4736,1,,medium,,0,0,1
500,500,1,40.0,2.48,0,1731,0,,medium,,0,0,1
501,501,0,100.0,5.0,1,3897,1,,,old,0,1,0
502,502,1,100.0,0.0,0,4152,0,,medium,,0,1,0
503,503,0,78.0,3.0,0,3080,0,,medium,,0,1,0
504,504,1,49.0,2.48,0,6881,1,,,old,0,1,0
505,505,0,72.0,0.0,0,7255,0,,,old,0,1,0
508,508,0,24.0,0.0,1,1763,0,,medium,,0,0,1
509,509,0,25.0,5.0,1,219,0,,,old,1,0,0
510,510,1,21.0,0.0,0,4732,1,,medium,,0,1,0
513,513,0,45.0,0.0,1,9729,1,,,old,0,0,1
514,514,1,44.0,1.0,0,8398,0,,,old,1,0,0
516,516,1,21.0,2.0,1,8859,1,,medium,,1,0,0
518,518,1,3.0,0.0,1,8424,0,,,old,1,0,0
519,519,0,96.0,0.0,0,8556,1,young,,,1,0,0
520,520,0,83.0,3.0,0,2445,0,,medium,,0,0,1
524,524,0,15.0,3.0,0,1474,1,,,old,0,1,0
526,526,0,33.0,1.0,0,8170,0,,medium,,0,1,0
527,527,0,38.0,2.0,1,7095,0,,medium,,0,0,1
528,528,0,56.0,4.0,0,4836,0,,,old,1,0,0
529,529,1,37.0,5.0,1,797,0,,,old,0,0,1
530,530,1,50.0,0.0,0,496,1,,,old,0,1,0
531,531,0,1.0,1.0,0,7671,1,,medium,,0,0,1
532,532,0,50.0,3.0,0,749,1,,,old,1,0,0
533,533,1,1.0,0.0,0,241,0,,medium,,0,0,1
534,534,0,20.0,4.0,0,6625,1,,,old,0,0,1
535,535,1,17.0,2.0,0,1664,1,,medium,,1,0,0
536,536,0,9.0,0.0,1,9545,0,,,old,0,0,1
537,537,1,92.0,4.0,0,2599,0,,,old,0,0,1
538,538,0,0.0,2.48,0,2459,0,young,,,0,0,1
539,539,1,54.0,2.0,0,9214,1,,,old,0,0,1
540,540,0,68.0,5.0,0,7012,1,,medium,,0,1,0
541,541,1,52.0,4.0,0,5782,1,,medium,,0,1,0
543,543,1,16.0,4.0,1,311,0,,,old,1,0,0
545,545,0,99.0,0.0,0,7032,0,,,old,1,0,0
546,546,0,31.0,2.0,1,9697,1,,,old,0,0,1
547,547,1,14.0,4.0,0,6777,1,,medium,,1,0,0
548,548,1,28.0,5.0,1,531,1,,medium,,0,0,1
549,549,0,42.0,1.0,1,4278,0,,medium,,0,1,0
550,550,1,11.0,2.0,1,906,1,,,old,1,0,0
551,551,0,25.0,2.0,1,1265,0,,medium,,1,0,0
553,553,1,45.0,2.0,1,9098,1,,,old,1,0,0
555,555,1,62.0,5.0,1,8471,1,,medium,,1,0,0
556,556,0,19.0,5.0,1,8758,0,,,old,1,0,0
558,558,0,4.0,2.0,0,9240,0,,,old,0,0,1
560,560,1,15.0,2.0,1,1673,1,,medium,,0,1,0
564,564,1,20.0,2.48,0,2631,1,,,old,0,0,1
565,565,1,12.0,5.0,0,6358,0,,,old,0,0,1
567,567,1,69.0,4.0,0,5677,1,young,,,0,1,0
568,568,1,69.0,0.0,1,104,1,,,old,1,0,0
569,569,0,53.0,3.0,0,1009,1,,medium,,0,1,0
570,570,0,74.0,2.0,1,951,1,,,old,0,0,1
571,571,1,86.0,1.0,0,3513,1,,medium,,0,0,1
574,574,1,63.0,4.0,1,5708,0,,,old,1,0,0
576,576,0,26.0,3.0,1,1144,1,,,old,0,0,1
577,577,0,100.0,5.0,1,8796,1,,medium,,0,0,1
578,578,0,15.0,0.0,1,1336,1,,,old,0,0,1
579,579,0,16.0,2.0,1,7328,1,,,old,0,1,0
580,580,0,61.0,4.0,0,5749,0,,medium,,0,1,0
583,583,1,21.0,3.0,1,6092,1,,,old,1,0,0
584,584,1,32.0,0.0,0,1759,0,,,old,1,0,0
585,585,1,25.0,4.0,0,8608,0,,,old,1,0,0
586,586,1,15.0,2.48,0,6370,1,,,old,0,0,1
588,588,1,29.0,4.0,0,196,0,young,,,0,0,1
589,589,0,100.0,5.0,0,2972,1,,medium,,0,0,1
591,591,1,62.0,2.0,0,3089,0,,,old,1,0,0
592,592,1,45.0,3.0,0,6983,1,,medium,,0,0,1
594,594,1,61.0,5.0,0,8694,0,,,old,1,0,0
596,596,0,88.0,5.0,1,110,1,,medium,,1,0,0
597,597,1,56.0,2.0,0,8652,0,,,old,0,1,0
598,598,1,18.0,2.0,0,781,0,,medium,,1,0,0
599,599,0,60.0,2.0,1,7887,0,,,old,1,0,0
600,600,1,43.0,2.0,0,9685,1,,medium,,0,1,0
602,602,0,21.0,1.0,0,9418,0,young,,,1,0,0
603,603,1,46.0,5.0,1,2790,1,,medium,,0,1,0
608,608,1,40.0,3.0,0,4197,1,young,,,0,0,1
610,610,0,32.0,4.0,1,3305,1,,medium,,0,0,1
611,611,1,24.0,5.0,1,2233,1,,medium,,0,0,1
614,614,0,79.0,5.0,0,2581,0,,,old,1,0,0
618,618,1,93.0,5.0,0,8656,1,young,,,1,0,0
619,619,1,78.0,2.0,0,1936,1,young,,,0,1,0
620,620,0,34.0,0.0,0,9987,1,young,,,0,0,1
622,622,1,15.0,4.0,0,4954,0,,,old,0,0,1
623,623,0,63.0,1.0,0,189,1,young,,,0,1,0
625,625,1,60.0,4.0,1,6648,1,,medium,,0,0,1
627,627,1,76.0,5.0,0,8142,1,,,old,0,0,1
631,631,1,51.0,5.0,0,315,1,young,,,0,1,0
632,632,1,47.0,0.0,1,1206,1,,,old,1,0,0
633,633,1,77.0,2.0,0,3225,0,,,old,1,0,0
634,634,1,14.0,5.0,0,831,0,,,old,0,1,0
635,635,0,86.0,5.0,0,7540,0,,medium,,1,0,0
637,637,1,32.0,5.0,1,6610,1,,medium,,1,0,0
639,639,1,41.0,1.0,0,7565,0,,,old,1,0,0
642,642,1,63.0,3.0,1,752,0,,,old,0,0,1
643,643,1,93.0,2.0,0,8146,1,,,old,1,0,0
644,644,0,100.0,4.0,1,9325,1,,,old,1,0,0
645,645,0,68.0,0.0,1,3942,0,,medium,,0,1,0
647,647,1,9.0,4.0,0,3493,1,young,,,1,0,0
